ccse_name,population,land_area,urban_pop_rate
Idaho,1584985,216632,70.6
Iowa,3062309,145743,64.0
Alabama,4802740,135765,59.0
Alaska,722718,1717854,66.0
Arizona,6482505,295254,89.8
Arkansas,2937979,137732,56.2
Wyoming,568158,253348,64.8
Washington,6830038,184827,100.0
Washington,6830038,184827,84.0
Vermont,626431,24923,38.9
Virginia,8096604,110785,75.5
Wisconsin,5711767,169639,70.2
Hawaii,1374810,28311,91.9
Delaware,907135,6452,83.3
Georgia2,9815210,153909,75.1
West Virginia,1855364,62755,48.7
Illinois,12869257,149998,88.5
Indiana,6516922,94321,72.4
California,37691912,423970,95.2
Kansas,2871238,213096,74.2
Kentucky,4369356,104659,58.4
Colorado,5116769,269837,86.2
Connecticut,3580709,14357,88.0
Louisiana,4574836,135382,73.2
Massachusetts,6587536,27336,92.0
Minnesota,5344861,225181,73.3
Mississippi,2978512,125443,49.3
Missouri,6010688,180533,70.4
Michigan,9876187,250493,74.6
Montana,998199,381156,55.9
Maine,1328188,91646,38.7
Maryland,5828289,32133,87.2
Nebraska,1842641,200520,73.1
Nevada,2723322,286367,94.2
New Hampshire,1318194,24217,60.3
New Jersey,8821155,22608,94.7
New York,19465197,141300,87.9
New Mexico,2082244,315194,77.4
Ohio,11544951,116096,77.9
Oklahoma,3791508,181196,66.2
Oregon,3871859,255026,81.0
Pennsylvania,12742886,119283,78.7
North Dakota,683932,183272,59.9
North Carolina,9656401,139509,66.1
Tennessee,6403353,109247,66.4
Texas,25674681,696241,84.7
Florida,19057542,170304,91.2
South Dakota,824082,199905,56.7
South Carolina,4679230,82931,66.3
Utah,2817222,219887,90.6
